Epoch		Train-loss		Test-loss		Train-IoU		Test-IoU		learningRate
1		2.8488		2.7068		0.0000		0.1044		0.00005000
2		2.5889		2.4754		0.0000		0.1686		0.00004850
3		2.4015		2.3213		0.0000		0.1761		0.00004699
4		2.2654		2.2071		0.0000		0.1909		0.00004548
5		2.1759		2.1431		0.0000		0.2041		0.00004396
6		2.1216		2.1019		0.0000		0.2101		0.00004243
7		2.0836		2.0697		0.0000		0.2204		0.00004090
8		2.0530		2.0413		0.0000		0.2259		0.00003937
9		2.0252		2.0190		0.0000		0.2271		0.00003782
10		2.0013		1.9965		0.0000		0.2294		0.00003627
11		1.9793		1.9812		0.0000		0.2295		0.00003471
12		1.9606		1.9637		0.0000		0.2321		0.00003315
13		1.9442		1.9491		0.0000		0.2314		0.00003157
14		1.9308		1.9343		0.0000		0.2331		0.00002999
15		1.9159		1.9257		0.0000		0.2324		0.00002840
16		1.9068		1.9169		0.0000		0.2340		0.00002679
17		1.8953		1.9068		0.0000		0.2328		0.00002518
18		1.8848		1.8967		0.0000		0.2354		0.00002356
19		1.8761		1.8936		0.0000		0.2357		0.00002192
20		1.8693		1.8841		0.0000		0.2369		0.00002027
21		1.8640		1.8791		0.0000		0.2400		0.00001860
22		1.8563		1.8756		0.0000		0.2391		0.00001692
23		1.8493		1.8702		0.0000		0.2400		0.00001522
24		1.8461		1.8634		0.0000		0.2460		0.00001349
25		1.8400		1.8604		0.0000		0.2436		0.00001175
26		1.8369		1.8566		0.0000		0.2473		0.00000997
27		1.8339		1.8547		0.0000		0.2459		0.00000815
28		1.8305		1.8536		0.0000		0.2475		0.00000629
29		1.8286		1.8517		0.0000		0.2472		0.00000437
30		1.8270		1.8519		0.0000		0.2469		0.00000234
